2017,4,3,14:32,2017,4,3,17:03,,,,,,
2005,3,14,13:30,2005,3,14,14:50,,,,,,
2016,3,27,16:13,2016,3,27,18:20,,,,,,
2005,4,28,14:56,2005,4,28,16:50,,,,,,
2006,3,31,14:00,2006,3,31,15:20,,,,,,
2004,4,18,13:00,2004,4,18,14:10,,,,,,
2003,4,5,10:55,2003,4,5,12:20,,,,,,
2018,2,25,11:19,2018,2,25,13:50,,,,,,
2017,5,6,14:18,2017,5,6,15:40,,,,,,
2017,3,28,14:57,2017,3,28,16:30,,,,,,
2017,3,11,12:50,2017,3,11,15:20,,,,,,
2004,3,28,13:44,2004,3,28,14:32,,,,,,
2017,3,22,15:51,2017,3,22,20:00,,,,,,
2016,4,11,12:39,2016,4,11,16:00,,,,,,
2004,3,28,13:10,2004,3,28,14:00,,,,,,
2017,6,23,15:37,2017,6,23,19:20,,,,,,
2017,4,3,12:46,2017,4,3,15:03,,,,,,
2017,3,30,14:20,2017,3,30,16:20,,,,,,
2017,3,27,13:30,2017,3,27,17:00,,,,,,
2017,3,18,13:30,2017,3,18,17:00,,,,,,
2017,3,10,13:00,2017,3,10,16:30,,,,,,
2017,2,12,13:30,2017,2,12,14:45,,,,,,
2015,6,1,11:54,2015,6,1,14:20,,,,,,
2003,4,16,14:55,2003,4,16,16:20,,,,,,
2005,2,6,15:00,2005,2,6,16:00,,,,,,
2005,1,23,14:00,2005,1,23,15:30,,,,,,
2018,2,10,18:42,2018,2,10,21:31,,,,,,
2017,4,1,12:20,2017,4,1,15:00,,,,,,
2017,2,16,14:35,2017,2,16,19:00,,,,,,
2016,3,28,16:21,2016,3,28,18:00,,,,,,
2016,2,9,15:59,2016,2,9,17:40,,,,,,
2016,5,20,17:53,2016,5,20,20:15,,,,,,
2019,1,29,16:04,2019,1,29,16:55,,,,,,
2018,3,13,12:23,2018,3,13,14:10,,,,,,
2017,3,8,12:14,2017,3,8,15:00,,,,,,
2017,4,26,15:26,2017,4,26,17:30,,,,,,
2017,4,23,16:40,2017,4,23,19:00,,,,,,
2005,3,6,14:30,2005,3,6,15:30,,,,,,
2005,2,10,15:25,2005,2,10,16:55,,,,,,
2003,3,15,11:35,2003,3,15,11:45,,,,,,
2017,5,6,16:09,2017,5,6,17:12,,,,,,
2004,4,16,4:00,2004,4,16,6:44,,,,,,
2003,4,14,14:10,2003,4,14,16:00,,,,,,
2015,6,23,14:45,2015,6,23,16:40,,,,,,
2017,4,30,12:59,2017,4,30,14:20,,,,,,
2017,4,12,14:36,2017,4,12,16:11,,,,,,
2017,4,4,13:35,2017,4,4,17:00,,,,,,
2016,3,28,14:11,2016,3,28,18:00,,,,,,
2016,3,23,13:14,2016,3,23,14:20,,,,,,
2014,4,8,17:30,2014,4,8,18:50,,,,,,
2012,6,27,2:57,2012,6,27,11:30,,,,,,
2004,3,26,14:35,2004,3,26,14:50,,,,,,
2003,4,2,14:10,2003,4,2,14:30,,,,,,
2003,4,2,14:00,2003,4,2,14:20,,,,,,
