2018,8,17,13:46,2018,8,17,18:20
2005,4,26,14:08,2005,4,26,17:00
2013,3,27,14:37,2013,3,27,18:30
2019,1,27,14:22,2019,1,27,17:30
2019,5,7,11:47,2019,5,7,18:00
2019,1,20,12:30,2019,1,20,15:00
2018,3,22,14:30,2018,3,22,16:20
2019,2,27,14:12,2019,2,27,17:00
2016,2,4,13:35,2016,2,4,17:00
2015,6,3,14:28,2015,6,3,19:00
2018,7,29,13:48,2018,7,29,19:00
2016,4,11,12:51,2016,4,11,14:20
2016,3,18,13:46,2016,3,18,15:50
2018,4,21,16:38,2018,4,21,18:40
2017,4,29,18:33,2017,4,30,11:00
2013,5,6,1:27,2013,5,6,4:30
2011,4,13,23:40,2011,4,14,2:30
2015,3,9,14:42,2015,3,9,16:26
2017,4,13,11:12,2017,4,13,14:00
2017,3,14,12:26,2017,3,14,14:55
2017,3,12,17:45,2017,3,12,19:40
2016,1,25,17:02,2016,1,25,20:00
2013,3,9,13:15,2013,3,9,14:20
2011,3,9,17:20,2011,3,9,18:30
2010,11,22,21:41,2010,11,22,23:50
2010,5,10,13:31,2010,5,10,14:50
2007,3,1,13:27,2007,3,1,15:17
2006,5,22,2:11,2006,5,22,4:16
2019,5,2,14:21,2019,5,2,16:25
2018,3,14,14:34,2018,3,14,15:30
2017,6,3,5:30,2017,6,3,17:00
2015,3,7,13:35,2015,3,7,15:10
2019,3,12,15:00,2019,3,12,16:20
2018,8,1,8:51,2018,8,1,13:00
2017,5,7,19:14,2017,5,7,21:15
2016,1,26,3:58,2016,1,26,7:00
2015,3,30,13:08,2015,3,30,15:30
2015,2,1,16:21,2015,2,1,17:43
2013,5,6,14:50,2013,5,6,16:19
2012,6,19,11:17,2012,6,19,15:30
2011,10,13,15:54,2011,10,13,17:50
2011,6,15,13:15,2011,6,15,14:45
2011,4,16,18:25,2011,4,16,19:30
2011,4,5,11:08,2011,4,5,11:40
2010,11,26,14:38,2010,11,26,16:40
2010,4,11,19:05,2010,4,11,20:15
2009,4,10,15:08,2009,4,10,16:20
2009,4,5,14:00,2009,4,5,14:31
2009,4,3,14:42,2009,4,3,15:37
2008,4,18,16:31,2008,4,18,17:44
2006,11,12,13:20,2006,11,12,14:00
2005,11,17,14:40,2005,11,17,16:10
